Store Number,Period,Sales Inc VAT,Sales Ex VAT,Volume,Transactions,CSAT,ASP,Category,Junior Buyer Area,Area,TPNB,Margin,Customer Families,Clubcard Penetration,Avg weekly Customer Frequency,GHS vs Instore,Convenience store names
1,P1,6268.62,7745.98,441,83,92,162.87,Clothing,Breads,North Dublin,SKU_1,291.25,Omega,0.41,1.86,InStore,Wilton Store
1,P1,5011.6,3220.93,214,248,95,428.99,Fresh,Snacks,Mid-West,SKU_2,253.64,Roshni,0.92,4.28,InStore,Wilton Store
1,P1,9594.8,1063.68,128,124,89,202.63,Fresh,Berries,South Dublin,SKU_3,382.84,Roshni,0.41,2.49,GHS,Arklow Store
1,P1,9527.03,7637.55,299,138,85,353.1,Clothing,Juice,North Dublin,SKU_4,494.5,Wick,0.63,4.82,InStore,Wexford Store
1,P1,7811.66,4220.72,408,86,75,376.33,Fresh,Berries,Kerry/Limerick,SKU_5,354.7,Omega,0.68,2.05,InStore,Wilton Store
1,P1,2218.97,4530.62,234,241,77,253.06,Fresh,Juice,Kerry/Limerick,SKU_6,340.91,Roshni,0.21,3.7,InStore,Arklow Store
1,P1,6144.83,7486.4,54,59,84,210.21,Fresh,Frozen Foods,Mid-West,SKU_7,367.04,Zeta,0.52,4.19,GHS,Wexford Store
1,P1,5202.11,7737.63,399,129,87,62.01,Packaged,Breads,North Dublin,SKU_8,497.92,Omega,0.94,4.32,GHS,Wilton Store
1,P1,9397.79,1729.0,381,179,98,349.14,Clothing,Snacks,Mid-West,SKU_9,345.9,Roshni,0.25,1.33,InStore,New Store
1,P1,5240.13,5900.19,496,195,70,163.8,Clothing,Breads,North Dublin,SKU_10,347.29,Omega,0.97,0.83,GHS,Wilton Store
1,P1,5735.85,9210.72,472,252,95,102.24,Fresh,Dairy,South Dublin,SKU_11,394.93,Wick,0.29,2.68,InStore,Wexford Store
1,P1,5316.61,8142.64,145,40,79,50.63,Packaged,Dairy,Kerry/Limerick,SKU_12,468.39,Wick,0.2,1.95,InStore,Wilton Store
1,P1,9610.36,6966.69,219,178,71,341.58,Clothing,Dairy,South Dublin,SKU_13,433.61,Zeta,0.57,1.04,GHS,Wexford Store
1,P1,5331.38,2394.5,223,286,94,51.05,Clothing,Frozen Foods,Kerry/Limerick,SKU_14,453.45,Zeta,0.59,2.26,InStore,New Store
1,P1,3454.57,8861.4,172,295,80,424.14,Clothing,Breads,South Dublin,SKU_15,196.42,Omega,0.89,2.08,GHS,Wexford Store
1,P1,5025.49,6884.33,437,269,76,223.54,Fresh,Juice,Kerry/Limerick,SKU_16,337.13,Omega,0.84,3.15,GHS,Wexford Store
1,P1,6674.61,1296.72,308,62,94,487.04,Packaged,Berries,North Dublin,SKU_17,101.21,Omega,0.99,3.12,InStore,Wilton Store
