Store Number,Period,Sales Inc VAT,Sales Ex VAT,Volume,Transactions,CSAT,ASP,Category,Junior Buyer Area,Area,TPNB,Margin,Customer Families,Clubcard Penetration,Avg weekly Customer Frequency,GHS vs Instore,Convenience store names
1,P1,3733.51,3118.84,85,158,86,57.04,Fresh,Beers,Mid-West,SKU_1,53.7,Omega,0.16,2.67,GHS,Wilton Store
1,P1,8499.36,2081.92,369,220,77,276.36,Packaged,Dairy,Mid-West,SKU_2,23.98,Wick,0.12,2.19,InStore,Wexford Store
1,P1,4793.22,9340.12,98,83,98,227.63,Clothing,Dairy,Mid-West,SKU_3,40.31,Omega,0.14,2.23,GHS,Arklow Store
1,P1,5050.35,6708.24,134,170,86,377.8,Fresh,Berries,Mid-West,SKU_4,241.14,Wick,0.17,1.65,GHS,Wilton Store
1,P1,3683.79,6484.19,77,103,88,195.91,Packaged,Snacks,Mid-West,SKU_5,223.71,Wick,0.94,3.41,GHS,Wexford Store
1,P1,3800.92,4470.71,167,214,70,81.41,Packaged,Breads,North Dublin,SKU_6,400.3,Omega,0.13,3.07,InStore,Wexford Store
1,P1,3853.46,4602.77,403,171,76,482.1,Packaged,Snacks,Mid-West,SKU_7,473.34,Wick,0.26,0.69,GHS,Arklow Store
1,P1,2951.39,4433.14,247,290,85,295.28,Fresh,Breads,Kerry/Limerick,SKU_8,225.43,Wick,0.24,0.9,GHS,New Store
1,P1,5942.19,5373.72,476,74,90,306.68,Clothing,Frozen Foods,South Dublin,SKU_9,153.59,Wick,0.45,2.9,InStore,New Store
1,P1,5369.35,1190.36,257,216,74,468.99,Packaged,Snacks,Kerry/Limerick,SKU_10,494.41,Roshni,0.59,1.77,GHS,New Store
1,P1,7466.52,8300.21,357,33,75,171.04,Packaged,Berries,Mid-West,SKU_11,489.28,Wick,0.13,3.8,GHS,Wexford Store
1,P1,2773.93,3499.1,349,70,78,126.05,Clothing,Frozen Foods,Kerry/Limerick,SKU_12,447.35,Zeta,0.77,3.68,InStore,New Store
1,P1,1835.43,4148.96,333,149,97,120.32,Clothing,Berries,North Dublin,SKU_13,44.43,Roshni,0.31,2.06,GHS,New Store
1,P1,8386.72,5774.76,85,285,85,128.51,Packaged,Juice,North Dublin,SKU_14,121.12,Zeta,0.41,0.81,GHS,Wexford Store
1,P1,8872.36,1146.0,442,114,84,414.39,Packaged,Juice,Kerry/Limerick,SKU_15,117.27,Zeta,0.62,1.61,InStore,Wexford Store
1,P1,9125.99,7997.02,168,58,86,52.15,Clothing,Snacks,South Dublin,SKU_16,267.38,Roshni,0.94,3.41,InStore,Wexford Store
1,P1,2112.67,7000.45,231,102,74,374.57,Clothing,Breads,South Dublin,SKU_17,29.0,Zeta,0.63,0.52,InStore,Wilton Store
1,P1,3908.47,6629.71,426,170,79,474.53,Clothing,Berries,South Dublin,SKU_18,392.68,Omega,0.71,0.84,InStore,Wexford Store
1,P1,5943.41,7253.42,408,217,78,121.41,Packaged,Beers,Kerry/Limerick,SKU_19,104.11,Roshni,0.25,1.17,InStore,Wexford Store
1,P1,8534.68,4430.86,260,260,74,235.25,Clothing,Snacks,Kerry/Limerick,SKU_20,394.34,Omega,0.86,4.86,InStore,Wilton Store
1,P1,1202.02,7499.25,275,248,75,413.09,Fresh,Berries,South Dublin,SKU_21,470.74,Zeta,0.62,2.25,InStore,Arklow Store
1,P1,4218.33,4790.32,291,31,70,207.19,Fresh,Snacks,Kerry/Limerick,SKU_22,276.45,Wick,0.6,4.53,GHS,Wexford Store
1,P1,6743.43,3228.7,492,176,91,51.47,Packaged,Snacks,North Dublin,SKU_23,134.89,Wick,0.66,1.51,InStore,Arklow Store
1,P1,6519.48,1759.24,479,273,100,433.62,Clothing,Frozen Foods,South Dublin,SKU_24,428.99,Wick,0.22,3.2,InStore,New Store
1,P1,5084.84,7380.86,64,68,75,100.41,Packaged,Dairy,South Dublin,SKU_25,370.74,Omega,0.24,0.96,GHS,Wilton Store
